開始時間,終了時間,1位プレイヤー,1位得点,2位プレイヤー,2位得点,3位プレイヤー,3位得点,4位プレイヤー,4位得点,タグ,牌譜リンク
2023-04-11 22:48:21,2023-04-11 23:29:48,komatsuh,+57.50,kawakubox,+12.60,noika,-23.50,いかおち,-46.60,Final,230411-d0dac6ad-43d6-4c4f-8fb4-4667b631eb70
2023-04-11 22:02:51,2023-04-11 22:44:35,kawakubox,+74.00,noika,+2.70,いかおち,-27.10,komatsuh,-49.60,Final,230411-c24e0ef2-00e8-4670-9eed-d15a2646fd1c
2023-04-06 23:35:27,2023-04-07 00:24:29,komatsuh,+50.00,kawakubox,+7.60,いかおち,-18.30,noika,-39.30,Final,230406-1a60641c-f2ff-45aa-b6c7-7841837a23c5
2023-04-06 22:43:54,2023-04-06 23:33:55,いかおち,+60.20,kawakubox,+13.80,noika,-25.50,komatsuh,-48.50,Final,230406-217ed13b-32eb-47c6-8cbb-8f944bba5fd6
2023-04-01 23:57:06,2023-04-02 00:52:25,komatsuh,+89.50,noika,-0.50,みそらー,-25.60,redfit,-63.40,semi-final-B,230401-7791dcb4-2e29-42a9-923f-ae253639f89f
2023-04-01 23:09:37,2023-04-01 23:51:04,noika,+54.60,みそらー,+10.30,komatsuh,-16.90,redfit,-48.00,semi-final-B,230401-fd8247e1-5355-422f-b252-a9c2d35d8dbb
2023-03-29 23:42:08,2023-03-30 00:34:15,プリントゴッコ,+71.30,いかおち,+17.80,kawakubox,-23.90,はまー,-65.20,semi-final-A,230329-ae3469e9-7af1-4225-8f70-339e425eeafe
2023-03-29 23:01:04,2023-03-29 23:34:07,kawakubox,+66.60,はまー,+21.80,プリントゴッコ,-32.70,いかおち,-55.70,semi-final-A,230329-a24a3194-303f-42c3-9478-f54af89ae546
2023-03-28 23:02:22,2023-03-28 23:54:29,redfit,+67.30,komatsuh,+8.00,noika,-19.20,みそらー,-56.10,semi-final-B,230328-d1d88b7d-6014-4f8a-857e-0fc1b45bce85
2023-03-27 23:55:40,2023-03-28 00:40:40,いかおち,+57.90,kawakubox,+5.00,プリントゴッコ,-17.00,はまー,-45.90,semi-final-A,230327-3b7add50-4860-486e-b54c-f6090243116b
2023-03-27 23:04:47,2023-03-28 00:05:40,komatsuh,+64.70,noika,+4.40,みそらー,-17.00,redfit,-52.10,semi-final-B,230327-f162e263-481b-4cd4-960d-21ce22515048
2023-03-27 23:03:33,2023-03-27 23:52:38,いかおち,+72.20,kawakubox,+7.90,プリントゴッコ,-17.10,はまー,-63.00,semi-final-A,230327-ec4c9029-051f-46e2-a928-72640073073d
2023-03-18 01:19:13,2023-03-18 01:47:44,はまー,+59.50,たこしゅ,+4.30,ahirutake,-20.60,すみそ・にあん,-43.20,auto,230318-eb8aa88a-53c1-463e-95f4-a399ed7fec1d
2023-03-18 00:27:18,2023-03-18 01:15:14,noika,+52.30,halstar,+5.10,すみそ・にあん,-16.50,ahirutake,-40.90,auto,230317-ce5eaf54-db04-43e4-9188-f04f726dc0c8
2023-03-17 23:32:27,2023-03-18 00:25:07,noika,+87.80,みそらー,-3.00,プリントゴッコ,-25.00,ぷじょ〜る,-59.80,auto,230317-2eae02c9-6662-4fdc-bbcd-d49febcd3844
2023-03-17 22:43:45,2023-03-17 23:47:02,komatsuh,+69.20,すみそ・にあん,+2.30,_pisuke,-24.20,ahirutake,-47.30,auto,230317-65271b74-236c-45ba-951a-9daf88339222
